Date,Purchase/Sale,Country,Currency,Net,VAT
2021/4/28,purchase,Italy,USD,41.75,7.93
2020/1/19,Sale,Poland,AED,511.92,112.62
2020/1/23,sele,Poland,EUR,631.13,113.6
2020/3/10,parchase,IT,GBP,739.75,177.54
2020/7/4,purchase,CZ,GBP,582.31,98.99
2020/8/24,sele,GB,CZK,97.17,21.38
2020/12/16,parchase,AE,EUR,322.11,38.65
2020/12/18,Purchase,Poland,CZK,426.91,72.57
2020/8/9,Sale,GB,USD,364.14,47.34
2020/4/16,SALE,IT,USD,406.31,85.33
2020/3/19,parchase,CZ,USD,499.45,99.89
2020/2/13,sele,United States,CZK,761.19,159.85
2020/12/23,sele,PL,ZAR,640.52,160.13
2020/12/1,sale,Italy,CZK,395.47,67.23
2020/11/1,parchase,IT,CZK,264.8,66.2
2020/6/16,PURCHASE,United States,GBP,207.41,47.7
2020/8/23,SALE,Great Britain,PLN,728.88,160.35
2020/2/12,SALE,IT,USD,592.59,106.67
2020/11/21,PURCHASE,ZA,CZK,693.75,111.0
2020/9/24,sele,US,AED,193.85,31.02
2020/10/23,SALE,IT,PLN,230.38,46.08
2020/12/28,Sale,Poland,USD,787.2,110.21
2020/8/4,PURCHASE,PL,GBP,596.21,125.2
2020/4/29,purchase,ZA,USD,458.45,77.94
2020/3/7,purchase,GB,EUR,221.77,28.83
2020/11/28,SALE,CZ,GBP,707.23,120.23
2020/6/13,Purchase,CZ,USD,789.16,173.62
2020/4/13,parchase,PL,EUR,174.49,34.9
2020/4/4,sale,PL,GBP,52.68,8.96
2020/9/23,purchase,Italy,GBP,495.93,94.23
2020/12/14,sele,GB,EUR,721.61,115.46
2020/9/9,parchase,IT,GBP,680.69,163.37
2020/12/5,PURCHASE,Italy,GBP,254.93,58.63
2020/10/3,parchase,PL,ZAR,617.86,80.32
2020/3/23,purchase,CZ,AED,252.03,57.97
2020/1/8,PURCHASE,Italy,CZK,580.13,98.62
2020/9/7,sele,GB,USD,283.35,34.0
2020/4/20,SALE,Great Britain,PLN,668.68,86.93
2020/1/12,parchase,AE,CZK,415.83,66.53
2020/11/18,purchase,IT,CZK,171.7,29.19
2020/4/20,Sale,PL,GBP,64.8,7.78
2020/5/13,PURCHASE,AE,ZAR,147.03,27.94
2020/8/12,parchase,United States,CZK,259.01,41.44
2020/1/26,parchase,US,AED,693.15,83.18
2020/11/12,sele,IT,PLN,443.01,106.32
2020/12/17,sele,AE,AED,311.86,46.78
2020/4/24,parchase,ZA,EUR,492.18,88.59
2020/2/6,Sale,GB,AED,356.75,74.92
